feature,feature_index
mean NOSE-RIGHT_REAR_PAW,feature_413
median NOSE-RIGHT_REAR_PAW,feature_414
min NOSE-RIGHT_REAR_PAW,feature_415
std_dev NOSE-RIGHT_REAR_PAW,feature_416
max NOSE-TIP_TAIL,feature_417
mean NOSE-TIP_TAIL,feature_418
median NOSE-TIP_TAIL,feature_419
min NOSE-TIP_TAIL,feature_420
std_dev NOSE-TIP_TAIL,feature_421
max RIGHT_EAR-BASE_NECK,feature_422
mean RIGHT_EAR-BASE_NECK,feature_423
median RIGHT_EAR-BASE_NECK,feature_424
min RIGHT_EAR-BASE_NECK,feature_425
std_dev RIGHT_EAR-BASE_NECK,feature_426
max RIGHT_EAR-BASE_TAIL,feature_427
mean RIGHT_EAR-BASE_TAIL,feature_428
median RIGHT_EAR-BASE_TAIL,feature_429
min RIGHT_EAR-BASE_TAIL,feature_430
std_dev RIGHT_EAR-BASE_TAIL,feature_431
max RIGHT_EAR-CENTER_SPINE,feature_432
mean RIGHT_EAR-CENTER_SPINE,feature_433
median RIGHT_EAR-CENTER_SPINE,feature_434
min RIGHT_EAR-CENTER_SPINE,feature_435
std_dev RIGHT_EAR-CENTER_SPINE,feature_436
max RIGHT_EAR-LEFT_FRONT_PAW,feature_437
mean RIGHT_EAR-LEFT_FRONT_PAW,feature_438
median RIGHT_EAR-LEFT_FRONT_PAW,feature_439
min RIGHT_EAR-LEFT_FRONT_PAW,feature_440
std_dev RIGHT_EAR-LEFT_FRONT_PAW,feature_441
max RIGHT_EAR-LEFT_REAR_PAW,feature_442
mean RIGHT_EAR-LEFT_REAR_PAW,feature_443
median RIGHT_EAR-LEFT_REAR_PAW,feature_444
min RIGHT_EAR-LEFT_REAR_PAW,feature_445
std_dev RIGHT_EAR-LEFT_REAR_PAW,feature_446
max RIGHT_EAR-MID_TAIL,feature_447
mean RIGHT_EAR-MID_TAIL,feature_448
median RIGHT_EAR-MID_TAIL,feature_449
min RIGHT_EAR-MID_TAIL,feature_450
std_dev RIGHT_EAR-MID_TAIL,feature_451
max RIGHT_EAR-RIGHT_FRONT_PAW,feature_452
mean RIGHT_EAR-RIGHT_FRONT_PAW,feature_453
median RIGHT_EAR-RIGHT_FRONT_PAW,feature_454
min RIGHT_EAR-RIGHT_FRONT_PAW,feature_455
std_dev RIGHT_EAR-RIGHT_FRONT_PAW,feature_456
max RIGHT_EAR-RIGHT_REAR_PAW,feature_457
mean RIGHT_EAR-RIGHT_REAR_PAW,feature_458
median RIGHT_EAR-RIGHT_REAR_PAW,feature_459
min RIGHT_EAR-RIGHT_REAR_PAW,feature_460
std_dev RIGHT_EAR-RIGHT_REAR_PAW,feature_461
max RIGHT_EAR-TIP_TAIL,feature_462
mean RIGHT_EAR-TIP_TAIL,feature_463
median RIGHT_EAR-TIP_TAIL,feature_464
min RIGHT_EAR-TIP_TAIL,feature_465
std_dev RIGHT_EAR-TIP_TAIL,feature_466
max RIGHT_FRONT_PAW-BASE_TAIL,feature_467
mean RIGHT_FRONT_PAW-BASE_TAIL,feature_468
median RIGHT_FRONT_PAW-BASE_TAIL,feature_469
min RIGHT_FRONT_PAW-BASE_TAIL,feature_470
std_dev RIGHT_FRONT_PAW-BASE_TAIL,feature_471
max RIGHT_FRONT_PAW-CENTER_SPINE,feature_472
mean RIGHT_FRONT_PAW-CENTER_SPINE,feature_473
median RIGHT_FRONT_PAW-CENTER_SPINE,feature_474
min RIGHT_FRONT_PAW-CENTER_SPINE,feature_475
std_dev RIGHT_FRONT_PAW-CENTER_SPINE,feature_476
max RIGHT_FRONT_PAW-LEFT_REAR_PAW,feature_477
mean RIGHT_FRONT_PAW-LEFT_REAR_PAW,feature_478
median RIGHT_FRONT_PAW-LEFT_REAR_PAW,feature_479
min RIGHT_FRONT_PAW-LEFT_REAR_PAW,feature_480
